None,ticker,date,lastupdated,ev,evebit,evebitda,marketcap,pb,pe,ps
0,XOM,2018-12-31,2018-12-31,323071.3,12.3,7.1,288703.3,1.5,12.4,1.1
1,XOM,2018-12-28,2018-12-28,322986.6,12.3,7.1,288618.6,1.5,12.4,1.1
2,XOM,2018-12-27,2018-12-27,326246.7,12.5,7.1,291878.7,1.5,12.6,1.1
3,XOM,2018-12-26,2018-12-26,324976.5,12.4,7.1,290608.5,1.5,12.5,1.1
4,XOM,2018-12-24,2018-12-24,311724.7,11.9,6.8,277356.7,1.5,11.9,1.0
5,XOM,2018-12-21,2018-12-21,322774.9,12.3,7.1,288406.9,1.5,12.4,1.1
6,XOM,2018-12-20,2018-12-20,324934.2,12.4,7.1,290566.2,1.5,12.5,1.1
7,XOM,2018-12-19,2018-12-19,334036.9,12.8,7.3,299668.9,1.6,12.9,1.1
8,XOM,2018-12-18,2018-12-18,339202.1,13.0,7.4,304834.1,1.6,13.1,1.1
9,XOM,2018-12-17,2018-12-17,347839.1,13.3,7.6,313471.1,1.6,13.5,1.2
10,XOM,2018-12-14,2018-12-14,354359.1,13.5,7.7,319991.1,1.7,13.8,1.2
11,XOM,2018-12-13,2018-12-13,360286.5,13.8,7.9,325918.5,1.7,14.0,1.2
12,XOM,2018-12-12,2018-12-12,356222.0,13.6,7.8,321854.0,1.7,13.9,1.2
13,XOM,2018-12-11,2018-12-11,359016.3,13.7,7.8,324648.3,1.7,14.0,1.2
14,XOM,2018-12-10,2018-12-10,358423.6,13.7,7.8,324055.6,1.7,14.0,1.2
15,XOM,2018-12-07,2018-12-07,363080.8,13.9,7.9,328712.8,1.7,14.2,1.2
16,XOM,2018-12-06,2018-12-06,366256.1,14.0,8.0,331888.1,1.7,14.3,1.2
17,XOM,2018-12-04,2018-12-05,370659.3,14.2,8.1,336291.3,1.8,14.5,1.2
18,XOM,2018-12-03,2018-12-03,378237.8,14.4,8.3,343869.8,1.8,14.8,1.3
19,XOM,2018-11-30,2018-11-30,370955.7,14.2,8.1,336587.7,1.8,14.5,1.2
20,XOM,2018-11-29,2018-11-29,369092.8,14.1,8.1,334724.8,1.8,14.4,1.2
21,XOM,2018-11-28,2018-11-28,366510.2,14.0,8.0,332142.2,1.7,14.3,1.2
22,XOM,2018-11-27,2018-11-27,360582.8,13.8,7.9,326214.8,1.7,14.0,1.2
