None,ticker,date,eventcodes
0,XOM,2019-08-02,22|71
1,XOM,2019-07-01,71
2,XOM,2019-06-04,57
3,XOM,2019-04-26,22|71
4,XOM,2019-04-10,71
5,XOM,2019-03-25,71
6,XOM,2019-02-26,22|71
7,XOM,2019-02-13,34
8,XOM,2019-02-11,34
9,XOM,2019-02-06,34
10,XOM,2019-02-01,22|71
11,XOM,2018-11-02,22|71
12,XOM,2018-07-27,22|71
13,XOM,2018-06-08,52
14,XOM,2018-06-05,57
15,XOM,2018-04-27,22|71
16,XOM,2018-03-16,52
17,XOM,2018-02-14,34
18,XOM,2018-02-09,22|34|71
19,XOM,2018-02-08,34
20,XOM,2018-02-02,22|52|71
21,XOM,2018-01-19,71
22,XOM,2017-12-27,52
23,XOM,2017-12-11,71
24,XOM,2017-12-01,52
25,XOM,2017-10-31,53|91
26,XOM,2017-10-27,22|71
27,XOM,2017-07-28,22|71
28,XOM,2017-06-06,57
29,XOM,2017-04-28,22|71
30,XOM,2017-03-27,81
31,XOM,2017-03-07,71
32,XOM,2017-02-23,22|71
33,XOM,2017-02-10,34
34,XOM,2017-01-31,22|71
35,XOM,2017-01-26,52
36,XOM,2017-01-24,34
37,XOM,2017-01-17,32
38,XOM,2017-01-04,81
39,XOM,2016-12-16,52
40,XOM,2016-12-06,52
41,XOM,2016-11-01,53|91
42,XOM,2016-10-28,22|71
43,XOM,2016-07-29,22|71
44,XOM,2016-05-31,57
45,XOM,2016-04-29,22|71
46,XOM,2016-03-08,22|71
47,XOM,2016-03-03,81|91
48,XOM,2016-02-19,22|71
49,XOM,2016-02-10,34
50,XOM,2016-02-08,34
51,XOM,2016-02-02,22|71
52,XOM,2016-01-29,52
53,XOM,2015-12-15,52
54,XOM,2015-10-30,22|71
55,XOM,2015-07-31,22|71
56,XOM,2015-06-01,57
57,XOM,2015-04-30,22|71
58,XOM,2015-03-23,22|71
59,XOM,2015-03-10,22|71
60,XOM,2015-03-06,81|91
61,XOM,2015-02-24,22|71
62,XOM,2015-02-11,34
63,XOM,2015-02-10,34
64,XOM,2015-02-09,34
65,XOM,2015-02-02,22|71
66,XOM,2014-11-24,52
67,XOM,2014-10-31,22|71
68,XOM,2014-08-06,52
69,XOM,2014-07-31,22|71
70,XOM,2014-06-02,57
71,XOM,2014-05-01,22|71
72,XOM,2014-03-24,22|71
73,XOM,2014-03-20,81|91
74,XOM,2014-03-11,22|71
75,XOM,2014-02-21,22|71
76,XOM,2014-02-12,34
77,XOM,2014-01-30,22|71
78,XOM,2014-01-29,34
79,XOM,2013-10-31,22|71
80,XOM,2013-08-01,22|71
81,XOM,2013-06-03,57
82,XOM,2013-04-25,22|71
83,XOM,2013-03-26,22|71
84,XOM,2013-03-12,22|71
85,XOM,2013-02-19,22|71
86,XOM,2013-02-08,34
87,XOM,2013-02-01,22|71
88,XOM,2012-12-04,52|91
89,XOM,2012-11-30,52
90,XOM,2012-11-02,52
91,XOM,2012-11-01,22|71
92,XOM,2012-07-26,22|71
93,XOM,2012-06-01,57
94,XOM,2012-04-26,22|71
95,XOM,2012-03-28,22|71
96,XOM,2012-03-14,22|71
97,XOM,2012-02-29,52
98,XOM,2012-02-23,22|71
99,XOM,2012-02-13,34
100,XOM,2012-01-31,22|71
101,XOM,2011-12-06,52
102,XOM,2011-11-29,52
103,XOM,2011-10-27,22|71
104,XOM,2011-07-28,22|71
105,XOM,2011-07-07,81
106,XOM,2011-05-31,57
107,XOM,2011-04-29,53
108,XOM,2011-04-28,22|71
109,XOM,2011-03-31,22|71
110,XOM,2011-03-15,22|71
111,XOM,2011-02-15,22|71
112,XOM,2011-02-04,34
113,XOM,2011-01-31,22|71
114,XOM,2010-11-30,52|91
115,XOM,2010-10-28,22|71
116,XOM,2010-07-29,22|71
117,XOM,2010-06-25,21|81|91
118,XOM,2010-06-01,57
119,XOM,2010-04-29,22|71
120,XOM,2010-03-29,22|71
121,XOM,2010-03-17,22|71
122,XOM,2010-03-16,81
123,XOM,2010-02-17,22|71
124,XOM,2010-02-03,34
125,XOM,2010-02-01,22|71
126,XOM,2010-01-29,34
127,XOM,2009-12-14,81|91
128,XOM,2009-12-01,52|91
129,XOM,2009-10-29,22|71
130,XOM,2009-10-28,81
131,XOM,2009-07-30,22|71
132,XOM,2009-06-19,81
133,XOM,2009-04-30,22|71
134,XOM,2009-03-30,22|71
135,XOM,2009-03-11,22|71
136,XOM,2009-02-17,22|71
137,XOM,2009-02-03,34
138,XOM,2009-01-30,22|71
139,XOM,2008-12-02,52|91
140,XOM,2008-10-30,22|71
141,XOM,2008-07-31,22|71
142,XOM,2008-07-03,81
143,XOM,2008-06-30,81
144,XOM,2008-05-01,22|71
145,XOM,2008-04-18,52
146,XOM,2008-03-24,22|71
147,XOM,2008-03-11,22|71
148,XOM,2008-02-15,22|71
149,XOM,2008-02-12,34
150,XOM,2008-02-01,22|71
151,XOM,2008-01-30,52
152,XOM,2007-12-12,52
153,XOM,2007-12-04,52
154,XOM,2007-11-02,52
155,XOM,2007-11-01,22|71
156,XOM,2007-10-29,81
157,XOM,2007-09-27,52|81
158,XOM,2007-09-12,81
159,XOM,2007-07-26,22|71
160,XOM,2007-07-02,81
161,XOM,2007-06-15,52
162,XOM,2007-05-25,81
163,XOM,2007-04-26,22|71
164,XOM,2007-03-23,22|71
165,XOM,2007-03-13,22|71
166,XOM,2007-02-28,52
167,XOM,2007-02-15,22|71
168,XOM,2007-02-13,34
169,XOM,2007-02-01,22|71
170,XOM,2006-12-28,81
171,XOM,2006-12-18,52
172,XOM,2006-12-01,91
173,XOM,2006-10-26,22|71
174,XOM,2006-10-12,11
175,XOM,2006-09-29,81
176,XOM,2006-07-27,22|71
177,XOM,2006-04-27,22|71
178,XOM,2006-03-22,22|71
179,XOM,2006-03-14,22|71
180,XOM,2006-02-15,22|71
181,XOM,2006-02-10,34
182,XOM,2006-01-30,22|71
183,XOM,2006-01-25,52
184,XOM,2005-12-16,11|52|91
185,XOM,2005-12-01,11|91
186,XOM,2005-10-27,22|71
187,XOM,2005-08-04,52
188,XOM,2005-07-28,22|71
189,XOM,2005-07-05,81
