None,ticker,date,eventcodes
0,XOM,2019-08-02,22|71
1,VZ,2019-08-01,22|91
2,UTX,2019-07-23,22|91
3,XOM,2019-07-01,71
4,UTX,2019-06-25,81
5,VZ,2019-06-18,71|91
6,UTX,2019-06-12,52
7,UTX,2019-06-10,11|52|81|91
8,XOM,2019-06-04,57
9,UTX,2019-06-03,81
10,VZ,2019-05-09,52
11,VZ,2019-05-08,57
12,UTX,2019-05-02,57
13,XOM,2019-04-26,22|71
14,UTX,2019-04-23,22|91
15,VZ,2019-04-23,22|91
16,XOM,2019-04-10,71
17,VZ,2019-04-08,81|91
18,XOM,2019-03-25,71
19,VZ,2019-02-27,81|91
20,XOM,2019-02-26,22|71
21,VZ,2019-02-21,71|91
22,VZ,2019-02-20,81|91
23,UTX,2019-02-14,34
24,XOM,2019-02-13,34
25,VZ,2019-02-12,34
26,UTX,2019-02-11,34
27,VZ,2019-02-11,34|81|91
28,XOM,2019-02-11,34
29,VZ,2019-02-08,52|91
30,UTX,2019-02-06,34
31,VZ,2019-02-06,34
32,XOM,2019-02-06,34
33,XOM,2019-02-01,22|71
34,VZ,2019-01-29,22|91
35,UTX,2019-01-23,21|22|91
36,VZ,2019-01-08,71|91
37,UTX,2018-12-21,21|91
38,VZ,2018-12-11,81
39,UTX,2018-11-26,21|71|81|91
40,VZ,2018-11-02,53|91
41,XOM,2018-11-02,22|71
42,UTX,2018-10-23,22|91
43,VZ,2018-10-23,22|91
44,UTX,2018-10-10,52|53
45,VZ,2018-10-04,52
46,VZ,2018-09-06,52
47,UTX,2018-09-04,71
48,UTX,2018-08-16,81|91
49,XOM,2018-07-27,22|71
50,UTX,2018-07-24,22|91
51,VZ,2018-07-24,22|91
52,VZ,2018-06-15,81|91
53,VZ,2018-06-11,81|91
54,VZ,2018-06-08,52
55,XOM,2018-06-08,52
56,XOM,2018-06-05,57
57,UTX,2018-05-18,81|91
58,VZ,2018-05-08,57
59,UTX,2018-05-03,52|57
60,VZ,2018-05-01,81|91
61,XOM,2018-04-27,22|71
62,UTX,2018-04-24,22|91
63,VZ,2018-04-24,22|91
64,VZ,2018-04-13,34
65,XOM,2018-03-16,52
66,VZ,2018-03-07,52
67,UTX,2018-02-14,34
68,XOM,2018-02-14,34
69,UTX,2018-02-09,34
70,VZ,2018-02-09,34
71,XOM,2018-02-09,22|34|71
72,UTX,2018-02-08,34
73,XOM,2018-02-08,34
74,XOM,2018-02-02,22|52|71
75,UTX,2018-01-24,22|91
76,VZ,2018-01-23,22|34|91
77,XOM,2018-01-19,71
