None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,XOM,MRY,2018-12-31,2018-12-31,2018-12-31,2019-08-07,-19564000000,346196000000,349610000000,47973000000,298223000000,0.83,45.301,-19574000000,3042000000,3042000000,188835000000,21421000000,0.84,0.77,37796000000,17258000000,20538000000,37796000000,0,18745000000,0,0.047,3.23,31138000000,49883000000,0.172,49883000000,31138000000,30372000000,4.88,4.88,4.88,191794000000,189394000000,191794000000,323071310922,10,6.477,16440000000,3.883,1.0,101377000000,0.349,0,766000000,323812000000,324166250000,18958000000,40790000000,0,40790000000,147668000000,57138000000,90530000000,288703310922,-135000000,2142000000,-626000000,-4925000000,-13798000000,-19446000000,-16446000000,0,36014000000,-257000000,20840000000,20840000000,20840000000,0,581000000,0.072,69658000000,31719000000,37268000000,0.662,1.505,13.853,13.973,247101000000,0,68.19,0.995,0.995,24701000000,421653000000,290212000000,290212000000,1466000000,0.06,0.11,0.096,0.107,0,11480000000,1.0,4233807170,4233807170,,68.546,346196000000,0,9532000000,29856000000,81.769,-9165000000
1,XOM,MRY,2017-12-31,2017-12-31,2017-12-31,2019-08-07,-16262000000,348691000000,346334750000,47134000000,301557000000,0.706,44.296,-15402000000,3177000000,3177000000,158321000000,19848000000,0.816,0.822,42336000000,17930000000,24406000000,42336000000,0,19893000000,0,0.037,3.06,19137000000,39030000000,0.16,39030000000,19137000000,18536000000,4.63,4.63,4.63,187688000000,181573250000,187688000000,390735552280,20,10.011,14664000000,3.461,1.0,86042000000,0.352,0,601000000,330079000000,330393500000,16992000000,39160000000,0,39160000000,154191000000,57771000000,96420000000,354391552280,-480000000,-2404000000,-747000000,-1048000000,-13001000000,-15130000000,-15730000000,0,30066000000,314000000,19710000000,19710000000,19710000000,0,138000000,0.081,66767000000,19275000000,36796000000,0.661,1.888,17.98,18.065,252630000000,0,83.64,1.45,1.45,25597000000,414540000000,244363000000,244363000000,1790000000,0.057,0.109,0.058,0.078,0,10649000000,1.0,4237106077,4237106077,,57.672,348691000000,0,-1174000000,29938000000,82.295,-10637000000
2,XOM,MRY,2016-12-31,2016-12-31,2016-12-31,2019-08-07,-22239000000,330314000000,338740500000,41416000000,288898000000,0.614,40.351,-16163000000,3657000000,3657000000,133191000000,8375000000,0.869,0.935,42762000000,13830000000,28932000000,42762000000,0,22308000000,0,0.033,2.98,7887000000,30195000000,0.145,30195000000,7887000000,7434000000,1.88,1.88,1.88,167325000000,170175000000,167325000000,415342539605,53,13.755,5919000000,1.427,1.0,74923000000,0.36,0,453000000,321781000000,328903750000,15080000000,35102000000,0,35102000000,156484000000,47638000000,108846000000,374280539605,-48000000,2858000000,-971000000,4293000000,-12453000000,-9293000000,-12403000000,0,22082000000,-434000000,7840000000,7840000000,7840000000,0,535000000,0.038,66501000000,8422000000,31193000000,1.585,2.237,47.74,48.011,244224000000,0,90.26,1.798,1.798,21394000000,407831000000,208114000000,208114000000,1467000000,0.023,0.046,0.024,0.038,0,10443000000,1.0,4146693326,4146693326,,50.188,330314000000,0,-406000000,36656000000,79.657,-6222000000
3,XOM,MRY,2015-12-31,2015-12-31,2015-12-31,2019-08-07,-23511000000,336758000000,342160250000,42623000000,294135000000,0.728,41.031,-26490000000,3705000000,3705000000,160312000000,16551000000,0.79,0.936,38687000000,18762000000,19925000000,38687000000,0,18048000000,0,0.037,2.88,21876000000,39924000000,0.16,39924000000,21876000000,21565000000,3.85,3.85,3.85,170811000000,171357250000,170811000000,354517057010,16,8.88,3854000000,0.926,1.0,88936000000,0.357,0,311000000,317764000000,316884000000,16245000000,34245000000,0,34245000000,159948000000,53976000000,105972000000,324501057010,-911000000,1782000000,-4034000000,9255000000,-12090000000,-7037000000,-23824000000,42000000,30344000000,-394000000,16150000000,16150000000,16150000000,0,401000000,0.065,66659000000,22277000000,32412000000,0.748,1.9,20.093,20.247,251605000000,0,77.95,1.302,1.302,19875000000,412444000000,249248000000,249248000000,1523000000,0.047,0.094,0.069,0.088,0,11501000000,1.0,4162938512,4162938512,,59.873,336758000000,0,5415000000,39620000000,80.894,-11353000000
4,XOM,MRY,2014-12-31,2014-12-31,2014-12-31,2019-08-07,-18957000000,349493000000,353469000000,52910000000,296583000000,1.165,41.185,-32952000000,4658000000,4658000000,287600000000,33615000000,0.819,0.966,29121000000,17468000000,11653000000,29121000000,0,17297000000,0,0.029,2.7,50821000000,68118000000,0.165,68118000000,50821000000,50535000000,7.6,7.6,7.6,174399000000,178134750000,174399000000,408302173045,8,5.994,12164000000,2.873,1.0,124339000000,0.302,0,286000000,309323000000,303987750000,16678000000,35239000000,0,35239000000,168429000000,64633000000,103796000000,391482173045,-28000000,2404000000,-13153000000,6966000000,-11568000000,-17888000000,-26975000000,227000000,45116000000,-281000000,32520000000,32520000000,32520000000,0,1095000000,0.079,72423000000,51916000000,42227000000,0.355,2.245,12.038,12.164,252668000000,0,92.45,0.95,0.95,28009000000,408384000000,411939000000,411939000000,1669000000,0.092,0.183,0.167,0.123,0,12598000000,1.0,4234528643,4234528643,,97.281,349493000000,0,18015000000,44168000000,82.534,-11723000000
5,XOM,MRY,2013-12-31,2013-12-31,2013-12-31,2019-08-07,-10725000000,346808000000,343906500000,59308000000,287500000000,1.274,39.831,-33669000000,4913000000,4913000000,307975000000,33448000000,0.827,0.956,22699000000,15808000000,6891000000,22699000000,0,17182000000,0,0.024,2.46,56852000000,74034000000,0.169,74034000000,56852000000,56843000000,7.37,7.37,7.37,174003000000,168974000000,174003000000,457637595244,8,6.181,11245000000,2.574,1.0,130280000000,0.297,0,9000000,292870000000,285719500000,16135000000,36328000000,0,36328000000,166313000000,71724000000,94589000000,442093595244,-4938000000,-1728000000,-15948000000,11604000000,-10875000000,-15476000000,-34201000000,72000000,44914000000,-175000000,32580000000,32580000000,32580000000,0,868000000,0.074,72560000000,57720000000,48085000000,0.334,2.541,13.569,13.731,243650000000,0,101.2,1.009,1.009,33152000000,387432000000,438255000000,438255000000,1976000000,0.095,0.193,0.199,0.13,0,12877000000,1.0,4368513787,4368513787,,100.321,346808000000,0,24263000000,48361000000,79.388,-12416000000
6,XOM,MRY,2012-12-31,2012-12-31,2012-12-31,2019-08-07,-12184000000,333795000000,335945750000,64460000000,269335000000,1.431,36.379,-34271000000,9923000000,9923000000,331502000000,47681000000,1.005,0.978,11581000000,3653000000,7928000000,11581000000,0,15888000000,0,0.025,2.18,76252000000,92140000000,0.192,92140000000,76252000000,75925000000,9.7,9.7,9.7,165863000000,163099750000,165863000000,393774105405,5,4.274,21899000000,4.803,1.0,149179000000,0.31,0,327000000,271314000000,263585250000,14542000000,34718000000,0,34718000000,162135000000,64139000000,97996000000,394611105405,-3082000000,7057000000,-20875000000,-2908000000,-10092000000,-33868000000,-25601000000,63000000,56170000000,217000000,44880000000,44880000000,44880000000,0,2801000000,0.093,70126000000,79053000000,50728000000,0.225,2.379,8.793,8.923,226949000000,0,86.55,0.821,0.821,34987000000,365727000000,480681000000,480681000000,1840000000,0.134,0.275,0.289,0.159,0,13877000000,1.0,4559342639,4559342639,,105.428,333795000000,0,31045000000,47328000000,73.211,321000000
7,XOM,MRY,2011-12-31,2011-12-31,2011-12-31,2019-08-07,-9123000000,331052000000,325004000000,72963000000,258089000000,1.497,32.211,-30975000000,13068000000,13068000000,340010000000,42206000000,0.941,1.103,17033000000,7711000000,9322000000,17033000000,0,15583000000,0,0.022,1.85,72358000000,87941000000,0.181,87941000000,72358000000,72111000000,8.43,8.42,8.43,154396000000,154341500000,154396000000,411779285923,6,4.682,24370000000,5.084,1.0,146419000000,0.301,0,247000000,257512000000,254875000000,15024000000,34333000000,0,34333000000,170308000000,77505000000,92803000000,406272285923,4839000000,7547000000,-21131000000,1957000000,-9020000000,-28256000000,-22165000000,144000000,55345000000,-85000000,41060000000,41060000000,41060000000,0,1146000000,0.084,72915000000,73504000000,57067000000,0.219,2.631,9.895,10.055,214664000000,0,84.76,0.835,0.835,38642000000,330939000000,486429000000,486429000000,2081000000,0.126,0.266,0.284,0.149,0,14983000000,1.0,4793207715,4793207715,,101.483,331052000000,0,31051000000,49345000000,69.067,-4542000000
8,VZ,MRY,2018-12-31,2018-12-31,2018-12-31,2019-04-26,2370000000,264829000000,264552500000,34636000000,230193000000,0.495,12.846,-16658000000,2745000000,2745000000,55508000000,16039000000,0.913,3.954,113063000000,7190000000,105873000000,113063000000,0,17403000000,0,0.042,2.372,23945000000,41348000000,0.316,41348000000,23945000000,19112000000,3.76,3.76,3.76,53145000000,52611250000,53145000000,342705888978,14,8.288,17681000000,4.283,1.0,75355000000,0.576,128519000000,4833000000,208698000000,211432750000,1336000000,671000000,0,671000000,210119000000,37930000000,172189000000,232301888978,1028000000,-230000000,0,-3781000000,-9772000000,-15377000000,-17934000000,0,34339000000,0,15528000000,15528000000,15528000000,0,511000000,0.119,53077000000,22278000000,22501000000,0.631,4.371,14.96,14.952,89286000000,0,56.22,1.775,1.773,25102000000,43542000000,130863000000,130863000000,0,0.059,0.295,0.113,0.183,0,31083000000,1.0,4132015101,4128000000,4132000000.0,31.701,136310000000,0,3584000000,33795000000,32.949,-3294000000
9,VZ,MRY,2017-12-31,2017-12-31,2017-12-31,2019-04-26,2659000000,257143000000,252883500000,29913000000,227230000000,0.498,10.545,-17247000000,2079000000,2079000000,53063000000,30550000000,0.905,4.93,117095000000,3453000000,113642000000,117095000000,0,16954000000,0,0.044,2.321,24878000000,41832000000,0.332,41832000000,24878000000,20145000000,7.37,7.36,7.37,43096000000,29656500000,43096000000,328934803449,13,7.863,7071000000,1.731,1.0,72971000000,0.579,127836000000,4733000000,211286000000,210240750000,1034000000,1039000000,0,1039000000,212456000000,33037000000,179419000000,215924803449,-289000000,-2266000000,0,7760000000,-9472000000,-6151000000,-18456000000,0,24318000000,0,30101000000,30101000000,30101000000,0,449000000,0.239,45546000000,27425000000,21232000000,0.315,5.01,7.173,7.182,88568000000,0,52.93,1.713,1.715,23493000000,35635000000,126034000000,126034000000,0,0.119,1.015,0.118,0.197,0,28592000000,1.0,4079440836,4084000000,4089000000.0,30.86,129307000000,0,-9956000000,31232000000,31.639,-3124000000
